Months,Overall_survival
0,99.771
0,99.771
1,99.771
1,100.0
1,99.541
1,98.853
2,97.706
2,96.56
3,96.33
3,96.101
3,93.349
4,92.431
4,90.826
4,90.367
5,89.908
5,88.532
5,88.532
6,88.073
6,87.385
6,86.697
6,87.156
7,86.239
7,85.78
7,84.404
7,84.174
7,84.174
8,84.174
8,84.174
8,84.174
8,83.945
8,83.945
8,83.486
8,83.028
8,82.798
9,82.798
9,82.798
9,82.798
9,82.798
9,82.798
9,82.798
9,82.798
9,82.798
10,83.028
9,82.798
10,82.798
10,82.339
10,81.881
10,81.193
10,81.422
10,81.193
10,81.193
11,81.193
11,81.422
11,81.422
11,81.422
11,81.422
11,81.422
11,81.422
12,80.963
12,80.963
12,81.193
12,81.193
