Months,Progression-free_survival
1,99.773
1,98.866
1,97.506
1,95.918
2,95.465
2,93.651
2,92.29
3,91.156
3,90.249
3,89.569
3,87.302
3,85.941
4,84.127
4,82.766
4,81.859
4,80.952
5,80.272
5,79.365
5,78.458
5,77.551
5,75.964
5,74.15
5,72.789
5,71.429
5,70.295
5,69.161
6,69.841
6,69.161
6,68.934
6,68.254
6,67.8
6,67.574
6,66.893
6,66.213
6,65.306
6,63.946
6,63.039
6,62.358
7,60.317
7,59.184
7,58.503
7,56.236
8,54.875
8,53.515
8,52.381
8,51.02
8,49.206
8,47.846
8,46.485
8,44.671
8,42.857
8,41.95
8,39.002
8,37.868
8,35.828
9,32.653
8,31.293
9,29.478
9,27.438
9,24.943
9,23.356
9,23.356
9,21.769
10,21.542
10,21.315
11,21.315
11,20.181
11,16.78
11,14.059
11,11.565
11,10.431
11,7.483
12,5.896
12,5.896
